     1.00000000100000013825E-001      3.27156786989715276213E-0350
     2.00000000100000019376E-001      1.39691526433338842489E-1672
     3.00000000100000052683E-001      2.55663092785427667485E-1359
     4.00000000100000030478E-001      5.06841457661936694995E-0965
     5.00000000100000008274E-001      5.17341052925879876895E-0660
     6.00000000100000097092E-001      7.72882316432356490267E-0453
     7.00000000100000074887E-001      2.83442603108619493125E-0323
     8.00000000100000052683E-001      8.53616914110101564881E-0239
     9.00000000100000030478E-001      1.07190077717941109287E-0179
     1.00000000010000000827E+000      6.83215494433072783279E-0153
     1.10000000010000009709E+000      1.46446380469097786888E-0119
     1.20000000010000018591E+000      1.46265512616042947278E-0095
     1.30000000010000005268E+000      2.74542740234331839100E-0077
     1.40000000010000014150E+000      3.37233673472456751373E-0063
     1.50000000010000000827E+000      3.73327095825178673942E-0052
     1.60000000010000009709E+000      5.05280479847341301530E-0043
     1.70000000010000018591E+000      1.13351366149671636515E-0035
     1.80000000010000005268E+000      1.15075315155323200865E-0029
     1.90000000010000014150E+000      1.00149088490647565770E-0024
     2.00000000010000000827E+000      1.35096130619614460080E-0020
     2.10000000010000009709E+000      4.51580630060313237763E-0017
     2.20000000010000018591E+000      4.34676195009038818131E-0014
     2.30000000010000027473E+000      8.00680151688676924638E-0067
     2.40000000010000036355E+000      8.14824504850530750042E-0086
     2.50000000010000000827E+000      8.49017096485238223701E-0077
     2.60000000010000009709E+000      8.29397331561137335584E-0080
     2.70000000010000018591E+000      8.52605338456008202177E-0072
     2.80000000010000027473E+000      9.48400074984330468708E-0065
     2.90000000010000036355E+000      1.59446811410145517917E-0058
     3.00000000010000000827E+000      5.34150490410528021510E-0053
     3.10000000010000009709E+000      6.67851703443335369274E-0048
     3.20000000010000018591E+000      2.34191259604541644298E-0043
     3.30000000010000027473E+000      2.73417111665143008473E-0039
     3.40000000010000036355E+000      1.22755554472555171960E-0035
     3.50000000010000000827E+000      2.39379923819233383591E-0032
     3.60000000010000009709E+000      2.24825110732772601878E-0029
     3.70000000010000018591E+000      1.11067722921619967575E-0026
     3.80000000010000027473E+000      3.11247067580046049483E-0024
     3.90000000010000036355E+000      5.27962456333947052450E-0022
     4.00000000010000000827E+000      5.73782912535026243304E-0020
     4.10000000010000054118E+000      4.60935246105061196193E-0018
     4.20000000010000018591E+000      2.56132366319733908226E-0016
     4.30000000009999983064E+000      1.02347328112285798985E-0014
     4.40000000010000036355E+000      3.04241243492086917162E-0013
     4.50000000010000000827E+000      6.93142540121835249452E-0012
     4.60000000010000054118E+000      1.24242485110474231876E-0010
     4.70000000010000018591E+000      1.79309262777257667866E-0009
     4.80000000010000071882E+000      2.12669520126882934510E-0008
     4.90000000010000036355E+000      2.11085907460751059143E-0007
     5.00000000010000000827E+000      1.78252309159387204576E-0006
     5.10000000010000054118E+000      1.34524647150038350950E-0005
     5.20000000010000018591E+000      8.83601473794501155755E-0005
     5.30000000010000071882E+000      5.68460341874508465758E-0004
     5.40000000010000036355E+000      2.63329864886570013022E-0003
     5.50000000010000000827E+000      1.22056153020793288076E-0002
     5.60000000010000054118E+000      5.12503588199819332620E-0002
     5.70000000010000018591E+000      1.96504763760891374564E-0001
     5.80000000010000071882E+000      6.94121707383002135003E-0001
     5.90000000010000036355E+000      2.27127440979733048880E+0000
     6.00000000010000000827E+000      2.83584754268763825009E+0001
     6.10000000010000054118E+000      2.01275277386737131893E+0001
     6.20000000010000018591E+000      5.49538594403683351506E+0001
     6.30000000010000071882E+000      1.41753275192353580541E+0002
     6.40000000010000036355E+000      3.45853604098822069718E+0002
     6.50000000010000000827E+000      8.03571312873615634130E+0002
     6.60000000010000054118E+000      1.95522751329702878813E+0003
     6.70000000010000018591E+000      9.96834379324404264640E+0003
     6.80000000010000071882E+000      9.06623608589796688678E+0003
     6.90000000010000036355E+000      1.51866632130792667967E+0004
     7.00000000010000000827E+000      2.87935593883930877933E+0004
     7.10000000010000054118E+000      8.50805076380192770212E+0004
     7.20000000010000018591E+000      6.34531336874964721238E+0004
     7.30000000010000071882E+000      6.51078009220173350688E+0004
     7.40000000010000036355E+000      1.10396466166740505791E+0005
     7.50000000010000000827E+000      1.84696094537190359190E+0005
     7.60000000010000054118E+000      2.94888677464250302469E+0005
     7.70000000010000018591E+000      6.23288949382336651961E+0005
     7.80000000010000071882E+000      7.21875440571014811685E+0005
     7.90000000010000036355E+000      9.04709526624172943225E+0005
     8.00000000010000000827E+000      1.22872409118420054119E+0006
     8.10000000009999965300E+000      1.82920327650980936492E+0006
     8.20000000010000107409E+000      2.54170299724874192264E+0006
     8.30000000010000071882E+000      3.52965585673400912058E+0006
     8.40000000010000036355E+000      4.39215370706748933975E+0006
     8.50000000010000000827E+000      6.07070571155400460390E+0006
     8.60000000009999965300E+000      8.27889888907012643851E+0006
     8.70000000010000107409E+000      1.11477695571223575886E+0007
     8.80000000010000071882E+000      1.48311714704555527542E+0007
     8.90000000010000036355E+000      1.95077142035749042901E+0007
     9.00000000010000000827E+000      2.53825273053523837210E+0007
     9.10000000009999965300E+000      3.26887990155341725723E+0007
     9.20000000010000107409E+000      4.16890422566575844027E+0007
     9.30000000010000071882E+000      5.26760460070510913698E+0007
     9.40000000010000036355E+000      6.59734767710900009054E+0007
     9.50000000010000000827E+000      8.19361024095322397377E+0007
     9.60000000010000142936E+000      1.00949618778741058015E+0008
     9.70000000010000107409E+000      1.23430068155548243232E+0008
     9.80000000010000071882E+000      1.49822847010006554539E+0008
     9.90000000010000036355E+000      1.80601309489112381703E+0008
     1.00000000001000000083E+001      2.16398720748150171412E+0008
